play_id,penaltySeverity,penaltyMinutes
2018020020_22,Minor,2
2018020020_70,Minor,2
2018020020_89,Minor,2
2018020020_123,Minor,2
2018020020_150,Minor,2
2018020020_183,Minor,2
2018020023_32,Minor,2
2018020023_57,Minor,2
2018020023_104,Minor,2
2018020023_111,Minor,2
2018020023_112,Minor,2
2018020023_114,Major,5
2018020023_115,Major,5
2018020023_156,Minor,2
2018020023_172,Minor,2
2018020023_240,Minor,2
2018020023_282,Minor,2
2018020023_321,Minor,2
2018020017_40,Minor,2
2018020017_63,Minor,2
2018020017_64,Minor,2
2018020017_70,Minor,2
2018020017_77,Major,5
2018020017_78,Major,5
2018020017_93,Bench Minor,2
2018020017_113,Minor,2
2018020017_171,Minor,2
2018020017_218,Minor,2
2018020017_248,Minor,2
2018020017_257,Minor,2
2018020017_258,Minor,2
2018020018_34,Minor,2
2018020018_88,Penalty Shot,0
2018020018_203,Minor,2
2018020018_230,Minor,2
2018020018_299,Minor,2
2018020019_114,Minor,2
2018020019_125,Minor,2
2018020019_180,Minor,2
2018020019_197,Minor,2
2018020019_211,Minor,2
2018020019_216,Minor,2
2018020019_229,Minor,2
2018020019_253,Minor,2
2018020021_41,Minor,2
2018020021_116,Minor,2
2018020021_184,Minor,2
2018020021_212,Minor,2
2018020021_224,Minor,2
2018020021_242,Minor,2
2018020021_243,Minor,2
2018020022_11,Minor,2
2018020022_35,Minor,2
2018020022_143,Minor,2
2018020022_161,Minor,2
2018020022_183,Minor,2
2018020022_309,Minor,2
2018020024_45,Minor,2
2018020024_50,Minor,2
2018020024_56,Minor,2
2018020024_61,Minor,2
2018020024_120,Minor,2
2018020024_125,Bench Minor,2
2018020024_144,Minor,2
2018020024_208,Minor,2
2018020024_246,Minor,2
2018020024_254,Minor,2
2018020025_66,Minor,2
2018020025_147,Minor,2
2018020025_168,Bench Minor,2
2018020025_277,Major,5
2018020025_278,Major,5
2018020025_311,Minor,2
2018020025_337,Minor,2
2018020027_14,Minor,2
2018020027_32,Minor,2
2018020027_43,Minor,2
2018020027_226,Minor,2
2018020027_288,Minor,2
2018020027_292,Minor,2
2018020026_59,Minor,2
2018020026_104,Minor,2
2018020026_132,Minor,2
2018020026_142,Minor,2
2018020026_143,Minor,2
2018020026_153,Minor,2
2018020026_203,Minor,2
2018020026_204,Minor,2
2018020026_239,Minor,2
2018020026_280,Bench Minor,2
2018020026_287,Minor,2
2018020028_87,Minor,2
2018020028_138,Minor,2
2018020028_171,Minor,2
2018020028_216,Minor,2
2018020028_223,Minor,2
2018020028_232,Minor,2
2018020028_236,Minor,2
2018020028_254,Minor,2
2018020028_260,Minor,2
2018020028_270,Minor,2
2018020028_298,Minor,2
2018020028_327,Minor,2
2018020020_22,Minor,2
2018020020_70,Minor,2
2018020020_89,Minor,2
2018020020_123,Minor,2
2018020020_150,Minor,2
2018020020_183,Minor,2
2018020023_32,Minor,2
2018020023_57,Minor,2
2018020023_104,Minor,2
2018020023_111,Minor,2
2018020023_112,Minor,2
2018020023_114,Major,5
2018020023_115,Major,5
2018020023_156,Minor,2
2018020023_172,Minor,2
2018020023_240,Minor,2
2018020023_282,Minor,2
2018020023_321,Minor,2
2018020017_40,Minor,2
2018020017_63,Minor,2
2018020017_64,Minor,2
2018020017_70,Minor,2
2018020017_77,Major,5
2018020017_78,Major,5
2018020017_93,Bench Minor,2
2018020017_113,Minor,2
2018020017_171,Minor,2
2018020017_218,Minor,2
2018020017_248,Minor,2
2018020017_257,Minor,2
2018020017_258,Minor,2
2018020018_34,Minor,2
2018020018_88,Penalty Shot,0
2018020018_203,Minor,2
2018020018_230,Minor,2
2018020018_299,Minor,2
2018020019_114,Minor,2
2018020019_125,Minor,2
2018020019_180,Minor,2
2018020019_197,Minor,2
2018020019_211,Minor,2
2018020019_216,Minor,2
2018020019_229,Minor,2
2018020019_253,Minor,2
2018020021_41,Minor,2
2018020021_116,Minor,2
2018020021_184,Minor,2
2018020021_212,Minor,2
2018020021_224,Minor,2
2018020021_242,Minor,2
2018020021_243,Minor,2
2018020022_11,Minor,2
2018020022_35,Minor,2
2018020022_143,Minor,2
2018020022_161,Minor,2
2018020022_183,Minor,2
2018020022_309,Minor,2
2018020024_45,Minor,2
2018020024_50,Minor,2
2018020024_56,Minor,2
2018020024_61,Minor,2
2018020024_120,Minor,2
2018020024_125,Bench Minor,2
2018020024_144,Minor,2
2018020024_208,Minor,2
2018020024_246,Minor,2
2018020024_254,Minor,2
2018020025_66,Minor,2
2018020025_147,Minor,2
2018020025_168,Bench Minor,2
2018020025_277,Major,5
2018020025_278,Major,5
2018020025_311,Minor,2
2018020025_337,Minor,2
2018020027_14,Minor,2
2018020027_32,Minor,2
2018020027_43,Minor,2
2018020027_226,Minor,2
2018020027_288,Minor,2
2018020027_292,Minor,2
2018020026_59,Minor,2
2018020026_104,Minor,2
2018020026_132,Minor,2
2018020026_142,Minor,2
2018020026_143,Minor,2
2018020026_153,Minor,2
2018020026_203,Minor,2
2018020026_204,Minor,2
2018020026_239,Minor,2
2018020026_280,Bench Minor,2
2018020026_287,Minor,2
2018020028_87,Minor,2
2018020028_138,Minor,2
2018020028_171,Minor,2
2018020028_216,Minor,2
2018020028_223,Minor,2
2018020028_232,Minor,2
2018020028_236,Minor,2
2018020028_254,Minor,2
2018020028_260,Minor,2
2018020028_270,Minor,2
2018020028_298,Minor,2
2018020028_327,Minor,2
2018020029_83,Minor,2
2018020029_175,Minor,2
2018020029_181,Bench Minor,2
2018020029_185,Minor,2
2018020029_199,Minor,2
2018020029_215,Minor,2
2018020029_241,Minor,2
2018020029_242,Minor,2
2018020029_264,Minor,2
2018020029_336,Minor,2
2018020029_356,Minor,2
2018020030_114,Minor,2
2018020030_168,Minor,2
2018020030_180,Minor,4
2018020030_241,Minor,2
2018020031_11,Minor,4
2018020031_87,Minor,2
2018020031_156,Major,5
2018020031_157,Major,5
2018020031_172,Minor,2
2018020031_206,Minor,2
2018020031_209,Minor,2
2018020031_270,Minor,2
2018020031_271,Minor,2
2018020031_272,Minor,2
2018020031_273,Minor,2
2018020031_274,Misconduct,10
2018020031_275,Misconduct,10
2018020031_321,Minor,2
2018020029_83,Minor,2
2018020029_175,Minor,2
2018020029_181,Bench Minor,2
2018020029_185,Minor,2
2018020029_199,Minor,2
2018020029_215,Minor,2
2018020029_241,Minor,2
2018020029_242,Minor,2
2018020029_264,Minor,2
2018020029_336,Minor,2
2018020029_356,Minor,2
2018020030_114,Minor,2
2018020030_168,Minor,2
2018020030_180,Minor,4
2018020030_241,Minor,2
2018020031_11,Minor,4
2018020031_87,Minor,2
2018020031_156,Major,5
2018020031_157,Major,5
2018020031_172,Minor,2
2018020031_206,Minor,2
2018020031_209,Minor,2
2018020031_270,Minor,2
2018020031_271,Minor,2
2018020031_272,Minor,2
2018020031_273,Minor,2
2018020031_274,Misconduct,10
2018020031_275,Misconduct,10
2018020031_321,Minor,2
2018020032_21,Minor,2
2018020032_70,Minor,2
2018020032_93,Minor,2
2018020032_154,Minor,2
2018020032_155,Minor,2
2018020032_247,Minor,2
2018020032_250,Minor,2
2018020033_50,Minor,2
2018020033_71,Minor,2
2018020033_86,Minor,2
2018020033_125,Minor,2
2018020033_148,Minor,2
2018020033_173,Minor,2
2018020033_255,Minor,2
2018020033_285,Minor,2
2018020034_12,Minor,2
2018020034_77,Minor,2
2018020034_108,Minor,2
2018020034_207,Minor,2
2018020035_11,Minor,2
2018020035_14,Minor,2
2018020035_124,Minor,2
2018020035_127,Minor,2
2018020035_148,Minor,2
2018020032_21,Minor,2
2018020032_70,Minor,2
2018020032_93,Minor,2
2018020032_154,Minor,2
2018020032_155,Minor,2
2018020032_247,Minor,2
2018020032_250,Minor,2
2018020033_50,Minor,2
2018020033_71,Minor,2
2018020033_86,Minor,2
2018020033_125,Minor,2
2018020033_148,Minor,2
2018020033_173,Minor,2
2018020033_255,Minor,2
2018020033_285,Minor,2
2018020034_12,Minor,2
2018020034_77,Minor,2
2018020034_108,Minor,2
2018020034_207,Minor,2
2018020035_11,Minor,2
2018020035_14,Minor,2
2018020035_124,Minor,2
2018020035_127,Minor,2
2018020035_148,Minor,2
2018020036_32,Minor,2
