game_id,player_id,team_id,timeOnIce,assists,goals,pim,shots,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShotsAgainst,evenShotsAgainst,powerPlayShotsAgainst,decision,savePercentage,powerPlaySavePercentage,evenStrengthSavePercentage
2018020009,8470320,16,3638,0,0,0,25,22,2,2,18,2,20,3,W,88.0,66.6666666666667,90.0
2018020009,8467950,9,3638,0,0,0,43,39,5,0,34,0,38,5,L,90.6976744186046,100.0,89.4736842105263
2018020010,8476914,29,3731,0,0,0,20,18,2,0,16,0,17,3,W,90.0,66.6666666666667,94.1176470588235
2018020010,8470657,17,3731,0,0,0,39,36,11,0,25,0,27,12,L,92.3076923076923,91.6666666666667,92.5925925925926
2018020011,8476945,52,3593,0,0,0,42,41,12,0,29,0,30,12,W,97.6190476190476,100.0,96.6666666666667
2018020011,8474596,19,3600,0,0,0,25,20,3,0,17,1,20,4,L,80.0,75.0,85.0
2018020012,8477293,53,3600,0,0,0,25,22,2,1,19,1,22,2,L,88.0,100.0,86.3636363636364
2018020012,8471750,25,3597,0,0,0,30,30,3,0,27,0,27,3,W,100.0,100.0,100.0
2018020013,8471227,30,3561,0,0,0,38,36,6,3,27,3,29,6,L,94.7368421052632,100.0,93.1034482758621
2018020013,8473575,21,3600,0,0,0,21,20,7,1,12,1,13,7,W,95.2380952380952,100.0,92.3076923076923
2018020014,8470880,4,3561,0,0,0,25,23,4,2,17,3,18,4,W,92.0,100.0,94.4444444444444
2018020014,8470594,54,1811,1,0,0,16,11,3,0,8,0,12,4,L,68.75,75.0,66.6666666666667
2018020014,8476876,54,1789,0,0,0,9,9,2,0,7,0,7,2,,100.0,100.0,100.0
2018020015,8470147,12,3600,0,0,0,32,31,1,1,29,1,30,1,W,96.875,100.0,96.6666666666667
2018020015,8475683,29,3522,0,0,0,35,32,0,2,30,2,33,0,L,91.4285714285714,,90.9090909090909
2018020016,8474889,28,3774,0,0,0,21,19,6,0,13,0,15,6,W,90.4761904761905,100.0,86.6666666666667
2018020016,8471734,26,3774,0,0,0,33,30,1,3,26,3,29,1,L,90.9090909090909,100.0,89.6551724137931
2018020015,8470147,12,3600,0,0,0,32,31,1,1,29,1,30,1,W,96.875,100.0,96.6666666666667
2018020015,8475683,29,3522,0,0,0,35,32,0,2,30,2,33,0,L,91.4285714285714,,90.9090909090909
2018020016,8474889,28,3774,0,0,0,21,19,6,0,13,0,15,6,W,90.4761904761905,100.0,86.6666666666667
2018020016,8471734,26,3774,0,0,0,33,30,1,3,26,3,29,1,L,90.9090909090909,100.0,89.6551724137931
2018020020,8475660,22,3555,0,0,0,26,22,0,0,22,0,25,1,L,84.6153846153846,0.0,88.0
2018020020,8476234,1,3600,0,0,0,19,17,0,0,17,0,18,1,W,89.4736842105263,0.0,94.4444444444444
2018020023,8476945,52,3595,0,0,0,35,30,12,2,16,2,18,15,L,85.7142857142857,80.0,88.8888888888889
2018020023,8471750,25,3600,0,0,0,33,32,5,1,26,1,27,5,W,96.969696969697,100.0,96.2962962962963
2018020017,8468685,3,3463,0,0,0,28,26,6,1,19,1,19,8,L,92.8571428571429,75.0,100.0
2018020017,8475622,7,3577,0,0,0,44,43,10,0,33,0,34,10,W,97.7272727272727,100.0,97.0588235294118
2018020018,8467950,9,3600,1,0,0,37,34,0,0,34,0,36,1,W,91.8918918918919,0.0,94.4444444444444
2018020018,8475883,10,3406,0,0,0,23,19,0,0,19,0,23,0,L,82.6086956521739,,82.6086956521739
2018020019,8466141,13,1941,0,0,0,13,13,3,0,10,0,10,3,,100.0,100.0,100.0
2018020019,8473503,13,1950,0,0,0,16,15,1,2,12,3,12,1,L,93.75,100.0,100.0
2018020019,8476883,14,3900,0,0,0,43,42,12,2,28,2,29,12,W,97.6744186046512,100.0,96.551724137931
2018020021,8477424,18,3600,0,0,0,29,26,8,2,16,2,18,9,W,89.6551724137931,88.8888888888889,88.8888888888889
2018020021,8471306,2,3487,0,0,0,23,19,1,0,18,0,22,1,L,82.6086956521739,100.0,81.8181818181818
2018020022,8471679,8,3600,0,0,0,22,21,3,1,17,1,18,3,W,95.4545454545455,100.0,94.4444444444444
2018020022,8476899,5,3558,0,0,0,29,24,2,0,22,1,26,2,L,82.7586206896552,100.0,84.6153846153846
2018020024,8470320,16,3729,0,0,0,30,26,6,1,19,1,21,8,W,86.6666666666667,75.0,90.4761904761905
2018020024,8474596,19,3730,0,0,0,30,25,2,0,23,0,28,2,L,83.3333333333333,100.0,82.1428571428571
2018020025,8470594,54,3871,0,0,0,30,29,3,0,26,0,27,3,W,96.6666666666667,100.0,96.2962962962963
2018020025,8471227,30,3900,0,0,0,42,41,3,1,37,1,38,3,L,97.6190476190476,100.0,97.3684210526316
2018020027,8476434,24,3600,0,0,0,41,41,6,1,34,1,34,6,W,100.0,100.0,100.0
2018020027,8477293,53,3545,0,0,0,20,19,1,0,18,0,19,1,L,95.0,100.0,94.7368421052632
2018020026,8470880,4,3569,0,0,0,34,30,6,1,23,1,26,7,L,88.2352941176471,85.7142857142857,88.4615384615385
2018020026,8473575,21,3600,0,0,0,37,35,6,1,28,1,30,6,W,94.5945945945946,100.0,93.3333333333333
2018020028,8474593,23,3549,0,0,0,35,30,6,2,22,2,24,9,L,85.7142857142857,66.6666666666667,91.6666666666667
2018020028,8469608,20,3594,0,0,0,20,16,3,1,12,2,13,5,W,80.0,60.0,92.3076923076923
2018020020,8475660,22,3555,0,0,0,26,22,0,0,22,0,25,1,L,84.6153846153846,0.0,88.0
2018020020,8476234,1,3600,0,0,0,19,17,0,0,17,0,18,1,W,89.4736842105263,0.0,94.4444444444444
2018020023,8476945,52,3595,0,0,0,35,30,12,2,16,2,18,15,L,85.7142857142857,80.0,88.8888888888889
2018020023,8471750,25,3600,0,0,0,33,32,5,1,26,1,27,5,W,96.969696969697,100.0,96.2962962962963
2018020017,8468685,3,3463,0,0,0,28,26,6,1,19,1,19,8,L,92.8571428571429,75.0,100.0
2018020017,8475622,7,3577,0,0,0,44,43,10,0,33,0,34,10,W,97.7272727272727,100.0,97.0588235294118
2018020018,8467950,9,3600,1,0,0,37,34,0,0,34,0,36,1,W,91.8918918918919,0.0,94.4444444444444
2018020018,8475883,10,3406,0,0,0,23,19,0,0,19,0,23,0,L,82.6086956521739,,82.6086956521739
2018020019,8466141,13,1941,0,0,0,13,13,3,0,10,0,10,3,,100.0,100.0,100.0
2018020019,8473503,13,1950,0,0,0,16,15,1,2,12,3,12,1,L,93.75,100.0,100.0
2018020019,8476883,14,3900,0,0,0,43,42,12,2,28,2,29,12,W,97.6744186046512,100.0,96.551724137931
2018020021,8477424,18,3600,0,0,0,29,26,8,2,16,2,18,9,W,89.6551724137931,88.8888888888889,88.8888888888889
2018020021,8471306,2,3487,0,0,0,23,19,1,0,18,0,22,1,L,82.6086956521739,100.0,81.8181818181818
2018020022,8471679,8,3600,0,0,0,22,21,3,1,17,1,18,3,W,95.4545454545455,100.0,94.4444444444444
2018020022,8476899,5,3558,0,0,0,29,24,2,0,22,1,26,2,L,82.7586206896552,100.0,84.6153846153846
2018020024,8470320,16,3729,0,0,0,30,26,6,1,19,1,21,8,W,86.6666666666667,75.0,90.4761904761905
2018020024,8474596,19,3730,0,0,0,30,25,2,0,23,0,28,2,L,83.3333333333333,100.0,82.1428571428571
2018020025,8470594,54,3871,0,0,0,30,29,3,0,26,0,27,3,W,96.6666666666667,100.0,96.2962962962963
2018020025,8471227,30,3900,0,0,0,42,41,3,1,37,1,38,3,L,97.6190476190476,100.0,97.3684210526316
2018020027,8476434,24,3600,0,0,0,41,41,6,1,34,1,34,6,W,100.0,100.0,100.0
2018020027,8477293,53,3545,0,0,0,20,19,1,0,18,0,19,1,L,95.0,100.0,94.7368421052632
2018020026,8470880,4,3569,0,0,0,34,30,6,1,23,1,26,7,L,88.2352941176471,85.7142857142857,88.4615384615385
2018020026,8473575,21,3600,0,0,0,37,35,6,1,28,1,30,6,W,94.5945945945946,100.0,93.3333333333333
2018020028,8474593,23,3549,0,0,0,35,30,6,2,22,2,24,9,L,85.7142857142857,66.6666666666667,91.6666666666667
2018020028,8469608,20,3594,0,0,0,20,16,3,1,12,2,13,5,W,80.0,60.0,92.3076923076923
2018020029,8480382,3,3505,0,0,2,39,32,9,0,23,0,30,9,L,82.051282051282,100.0,76.6666666666667
2018020029,8475852,12,3600,0,0,0,24,19,5,2,12,2,16,6,W,79.1666666666667,83.3333333333333,75.0
2018020030,8476343,10,3619,0,0,0,31,25,1,0,24,0,30,1,W,80.6451612903226,100.0,80.0
2018020030,8470320,16,3523,0,0,0,34,27,2,1,24,1,30,3,L,79.4117647058823,66.6666666666667,80.0
2018020031,8473541,17,3498,0,0,0,24,21,3,0,18,0,21,3,L,87.5,100.0,85.7142857142857
2018020031,8475789,26,3600,0,0,0,38,36,6,0,30,0,30,8,W,94.7368421052632,75.0,100.0
2018020029,8480382,3,3505,0,0,2,39,32,9,0,23,0,30,9,L,82.051282051282,100.0,76.6666666666667
2018020029,8475852,12,3600,0,0,0,24,19,5,2,12,2,16,6,W,79.1666666666667,83.3333333333333,75.0
2018020030,8476343,10,3619,0,0,0,31,25,1,0,24,0,30,1,W,80.6451612903226,100.0,80.0
2018020030,8470320,16,3523,0,0,0,34,27,2,1,24,1,30,3,L,79.4117647058823,66.6666666666667,80.0
2018020031,8473541,17,3498,0,0,0,24,21,3,0,18,0,21,3,L,87.5,100.0,85.7142857142857
2018020031,8475789,26,3600,0,0,0,38,36,6,0,30,0,30,8,W,94.7368421052632,75.0,100.0
2018020032,8477237,9,3585,0,0,0,29,24,2,2,20,2,24,3,L,82.7586206896552,66.6666666666667,83.3333333333333
2018020032,8471695,6,3600,0,0,0,31,28,2,3,23,3,26,2,W,90.3225806451613,100.0,88.4615384615385
2018020033,8474889,28,3381,0,0,0,29,26,9,1,16,1,18,10,L,89.6551724137931,90.0,88.8888888888889
2018020033,8475215,2,3581,0,0,0,35,35,9,0,26,0,26,9,W,100.0,100.0,100.0
2018020034,8470594,54,3489,0,0,0,17,13,1,0,12,0,15,2,L,76.4705882352941,50.0,80.0
2018020034,8475622,7,3600,0,0,0,37,35,4,3,28,3,30,4,W,94.5945945945946,100.0,93.3333333333333
2018020035,8470657,17,3900,1,0,0,27,25,2,1,22,1,24,2,L,92.5925925925926,100.0,91.6666666666667
2018020035,8476434,24,3900,0,0,0,21,19,1,1,17,1,19,1,W,90.4761904761905,100.0,89.4736842105263
2018020032,8477237,9,3585,0,0,0,29,24,2,2,20,2,24,3,L,82.7586206896552,66.6666666666667,83.3333333333333
2018020032,8471695,6,3600,0,0,0,31,28,2,3,23,3,26,2,W,90.3225806451613,100.0,88.4615384615385
2018020033,8474889,28,3381,0,0,0,29,26,9,1,16,1,18,10,L,89.6551724137931,90.0,88.8888888888889
2018020033,8475215,2,3581,0,0,0,35,35,9,0,26,0,26,9,W,100.0,100.0,100.0
2018020034,8470594,54,3489,0,0,0,17,13,1,0,12,0,15,2,L,76.4705882352941,50.0,80.0
2018020034,8475622,7,3600,0,0,0,37,35,4,3,28,3,30,4,W,94.5945945945946,100.0,93.3333333333333
2018020035,8470657,17,3900,1,0,0,27,25,2,1,22,1,24,2,L,92.5925925925926,100.0,91.6666666666667
2018020035,8476434,24,3900,0,0,0,21,19,1,1,17,1,19,1,W,90.4761904761905,100.0,89.4736842105263
2018020036,8477180,28,3598,0,0,0,33,31,7,0,24,0,24,9,W,93.9393939393939,77.7777777777778,100.0
2018020036,8470880,4,3585,0,0,0,48,40,7,2,31,3,36,9,L,83.3333333333333,77.7777777777778,86.1111111111111
2018020037,8474593,23,3565,0,0,0,33,28,1,3,24,3,29,1,L,84.8484848484848,100.0,82.7586206896552
2018020037,8470147,12,3600,0,0,0,25,22,3,1,18,1,19,5,W,88.0,60.0,94.7368421052632
2018020038,8475831,21,3543,0,0,0,34,30,7,1,22,1,25,8,L,88.2352941176471,87.5,88.0
2018020038,8475683,29,3591,0,0,0,27,25,5,2,18,2,19,6,W,92.5925925925926,83.3333333333333,94.7368421052632
2018020039,8469608,20,3600,0,0,0,43,43,9,0,34,0,34,9,W,100.0,100.0,100.0
2018020039,8471469,18,3600,0,0,0,27,24,5,0,19,0,20,7,L,88.8888888888889,71.4285714285714,95.0
2018020040,8475789,26,3501,0,0,0,39,37,8,0,29,0,30,9,L,94.8717948717949,88.8888888888889,96.6666666666667
2018020040,8476945,52,3600,0,0,0,17,16,4,1,11,1,12,4,W,94.1176470588235,100.0,91.6666666666667
2018020041,8475883,10,3600,0,0,0,34,30,0,0,30,0,33,1,W,88.2352941176471,0.0,90.9090909090909
2018020041,8471750,25,3554,1,0,0,29,23,1,0,22,0,26,3,L,79.3103448275862,33.3333333333333,84.6153846153846
