game_id,official_name,official_type
2018020028,Kiel Murchison,Linesman
2018020020,Brad Meier,Referee
2018020020,Francois StLaurent,Referee
2018020020,Lonnie Cameron,Linesman
2018020020,Jonny Murray,Linesman
2018020023,Chris Schlenker,Referee
2018020023,Brad Watson,Referee
2018020023,Ryan Galloway,Linesman
2018020023,Brian Murphy,Linesman
2018020017,Gord Dwyer,Referee
2018020017,TJ Luxmore,Referee
2018020017,Devin Berg,Linesman
2018020017,Mark Shewchyk,Linesman
2018020018,Justin StPierre,Referee
2018020018,Steve Kozari,Referee
2018020018,Steve Miller,Linesman
2018020018,Kory Nagy,Linesman
2018020019,Eric Furlatt,Referee
2018020019,Dean Morton,Referee
2018020019,Pierre Racicot,Linesman
2018020019,Brad Kovachik,Linesman
2018020021,Francis Charron,Referee
2018020021,Kyle Rehman,Referee
2018020021,Scott Cherrey,Linesman
2018020021,Greg Devorski,Linesman
2018020022,Chris Rooney,Referee
2018020022,Ghislain Hebert,Referee
2018020022,Ryan Daisy,Linesman
2018020022,Matt MacPherson,Linesman
2018020024,Kelly Sutherland,Referee
2018020024,Graham Skilliter,Referee
2018020024,Libor Suchanek,Linesman
2018020024,Brian Mach,Linesman
2018020025,Ian Walsh,Referee
2018020025,Kevin Pollock,Referee
2018020025,Derek Nansen,Linesman
2018020025,David Brisebois,Linesman
2018020027,Frederick L'Ecuyer,Referee
2018020027,Marc Joannette,Referee
2018020027,Brandon Gawryletz,Linesman
2018020027,Tony Sericolo,Linesman
2018020026,Trevor Hanson,Referee
2018020026,Jake Brenk,Referee
2018020026,Derek Amell,Linesman
2018020026,Bryan Pancich,Linesman
2018020028,Garrett Rank,Referee
2018020028,Pierre Lambert,Referee
2018020028,Trent Knorr,Linesman
2018020028,Kiel Murchison,Linesman
2018020029,Kyle Rehman,Referee
2018020029,Eric Furlatt,Referee
2018020029,Pierre Racicot,Linesman
2018020029,Tim Nowak,Linesman
2018020030,Jean Hebert,Referee
2018020030,Ian Walsh,Referee
2018020030,Travis Gawryletz,Linesman
2018020030,Matt MacPherson,Linesman
2018020031,Frederick L'Ecuyer,Referee
2018020031,Marc Joannette,Referee
2018020031,Ryan Gibbons,Linesman
2018020031,Darren Gibbs,Linesman
2018020029,Kyle Rehman,Referee
2018020029,Eric Furlatt,Referee
2018020029,Pierre Racicot,Linesman
2018020029,Tim Nowak,Linesman
2018020030,Jean Hebert,Referee
2018020030,Ian Walsh,Referee
2018020030,Travis Gawryletz,Linesman
2018020030,Matt MacPherson,Linesman
2018020031,Frederick L'Ecuyer,Referee
2018020031,Marc Joannette,Referee
2018020031,Ryan Gibbons,Linesman
2018020031,Darren Gibbs,Linesman
2018020032,Gord Dwyer,Referee
2018020032,TJ Luxmore,Referee
2018020032,Scott Cherrey,Linesman
2018020032,James Tobias,Linesman
2018020033,Brian Pochmara,Referee
2018020033,Steve Kozari,Referee
2018020033,Brian Mach,Linesman
2018020033,Kory Nagy,Linesman
2018020034,Chris Rooney,Referee
2018020034,Ghislain Hebert,Referee
2018020034,Andrew Smith,Linesman
2018020034,Libor Suchanek,Linesman
2018020035,Tim Peel,Referee
2018020035,Jake Brenk,Referee
2018020035,Darren Gibbs,Linesman
2018020035,Derek Amell,Linesman
2018020032,Gord Dwyer,Referee
2018020032,TJ Luxmore,Referee
2018020032,Scott Cherrey,Linesman
2018020032,James Tobias,Linesman
2018020033,Brian Pochmara,Referee
