play_id,strength,gameWinningGoal,emptyNet
2018020021_114,Even,False,False
2018020021_162,Even,False,False
2018020021_177,Even,True,False
2018020021_188,Power Play,False,False
2018020022_55,Even,False,False
2018020022_71,Even,True,False
2018020022_116,Even,False,False
2018020022_164,Short Handed,False,False
2018020022_176,Even,False,False
2018020022_263,Even,False,False
2018020024_66,Power Play,False,False
2018020024_78,Even,False,False
2018020024_83,Even,False,False
2018020024_101,Even,False,False
2018020024_141,Even,False,False
2018020024_213,Power Play,False,False
2018020024_216,Even,False,False
2018020024_238,Even,False,False
2018020024_305,Even,True,False
2018020025_45,Even,False,False
2018020025_308,Even,False,False
2018020025_351,Even,True,
2018020027_199,Even,True,False
2018020026_11,Even,False,False
2018020026_51,Even,False,False
2018020026_81,Even,False,False
2018020026_130,Even,False,False
2018020026_147,Even,True,False
2018020026_297,Power Play,False,False
2018020026_307,Even,False,True
2018020028_7,Even,False,False
2018020028_79,Even,False,False
2018020028_99,Short Handed,False,False
2018020028_104,Even,False,False
2018020028_142,Power Play,False,False
2018020028_180,Power Play,False,False
2018020028_226,Power Play,False,False
2018020028_273,Power Play,False,False
2018020028_302,Power Play,True,False
2018020028_323,Even,False,True
2018020028_331,Short Handed,False,True
2018020020_9,Even,False,False
2018020020_24,Power Play,False,False
2018020020_125,Power Play,False,False
2018020020_131,Even,True,False
2018020020_249,Even,False,False
2018020020_275,Even,False,False
2018020020_297,Even,False,True
2018020023_51,Even,False,False
2018020023_64,Power Play,True,False
2018020023_130,Even,False,False
2018020023_166,Power Play,False,False
2018020023_284,Power Play,False,False
2018020023_318,Even,False,False
2018020017_73,Power Play,False,False
2018020017_122,Power Play,True,False
2018020017_301,Even,False,False
2018020017_333,Even,False,True
2018020018_57,Even,False,False
2018020018_130,Even,False,False
2018020018_135,Even,False,False
2018020018_151,Even,False,False
2018020018_157,Even,False,False
2018020018_232,Power Play,False,False
2018020018_257,Even,True,False
2018020018_368,Even,False,True
2018020019_31,Even,False,False
2018020019_258,Short Handed,False,False
