game_id,team_id,player_id
2018020001,10,8477512
2018020001,10,8475718
2018020001,10,8475716
2018020001,8,8473991
2018020001,8,8469521
2018020001,8,8477957
2018020002,15,8476436
2018020002,15,8477126
2018020002,15,8476880
2018020002,6,8478075
2018020002,6,8474000
2018020002,6,8480001
2018020003,23,8473415
2018020003,23,8477018
2018020003,23,8477213
2018020003,20,8477903
2018020003,20,8477508
2018020003,20,8474774
2018020004,28,8478078
2018020004,28,8475841
2018020004,28,8480160
2018020004,24,8476207
2018020004,24,8480806
2018020004,24,8477205
2018020001,10,8477512
2018020001,10,8475718
2018020001,10,8475716
2018020001,8,8473991
2018020001,8,8469521
2018020001,8,8477957
2018020002,15,8476436
2018020002,15,8477126
2018020002,15,8476880
2018020002,6,8478075
2018020002,6,8474000
2018020002,6,8480001
2018020003,23,8473415
2018020003,23,8477018
2018020003,23,8477213
2018020003,20,8477903
2018020003,20,8477508
2018020003,20,8474774
2018020004,28,8478078
2018020004,28,8475841
2018020004,28,8480160
2018020004,24,8476207
2018020004,24,8480806
2018020004,24,8477205
2018020005,7,8474567
2018020005,7,8477461
2018020005,7,8476807
2018020005,6,8474000
2018020005,6,8480001
2018020005,6,8475780
2018020007,5,8474683
2018020007,5,8480945
2018020007,5,8477244
2018020007,15,8476436
2018020007,15,8477126
2018020007,15,8476880
2018020008,12,8476858
2018020008,12,8477938
2018020008,2,8477527
2018020008,2,8475832
2018020008,2,8476429
2018020006,3,8476368
2018020006,3,8477950
2018020006,3,8471657
2018020006,18,8475868
2018020006,18,8477919
2018020006,18,8475625
2018020009,9,8477433
2018020009,9,8480801
2018020009,16,8475869
2018020009,16,8476341
2018020009,16,8477401
2018020010,17,8476924
2018020010,17,8475324
2018020010,17,8474722
2018020010,29,8476431
2018020010,29,8478541
2018020010,29,8476310
2018020011,19,8474145
2018020011,19,8476441
2018020011,19,8478859
2018020011,52,8477448
2018020011,52,8475179
2018020011,52,8477962
2018020012,25,8477945
2018020012,25,8477501
2018020012,25,8476966
2018020012,53,8477460
2018020012,53,8480849
2018020012,53,8480950
2018020013,21,8474717
2018020013,30,8476806
2018020013,30,8475613
2018020014,54,8476987
2018020014,54,8476779
2018020014,4,8477850
2018020014,4,8475738
2018020014,4,8474668
2018020005,7,8474567
2018020005,7,8477461
2018020005,7,8476807
2018020005,6,8474000
2018020005,6,8480001
2018020005,6,8475780
2018020007,5,8474683
2018020007,5,8480945
2018020007,5,8477244
2018020007,15,8476436
2018020007,15,8477126
2018020007,15,8476880
2018020008,12,8476858
2018020008,12,8477938
2018020008,2,8477527
2018020008,2,8475832
2018020008,2,8476429
2018020006,3,8476368
2018020006,3,8477950
2018020006,3,8471657
2018020006,18,8475868
2018020006,18,8477919
2018020006,18,8475625
2018020009,9,8477433
2018020009,9,8480801
2018020009,16,8475869
2018020009,16,8476341
2018020009,16,8477401
2018020010,17,8476924
2018020010,17,8475324
2018020010,17,8474722
2018020010,29,8476431
2018020010,29,8478541
2018020010,29,8476310
2018020011,19,8474145
2018020011,19,8476441
2018020011,19,8478859
2018020011,52,8477448
2018020011,52,8475179
2018020011,52,8477962
2018020012,25,8477945
2018020012,25,8477501
2018020012,25,8476966
2018020012,53,8477460
2018020012,53,8480849
2018020012,53,8480950
2018020013,21,8474717
2018020013,30,8476806
2018020013,30,8475613
2018020014,54,8476987
2018020014,54,8476779
2018020014,4,8477850
2018020014,4,8475738
2018020014,4,8474668
2018020015,29,8478506
2018020015,29,8478541
2018020015,29,8476310
2018020015,12,8476858
2018020015,12,8477938
2018020016,26,8479994
2018020016,26,8476983
2018020016,28,8478078
2018020016,28,8475841
2018020016,28,8480160
2018020015,29,8478506
2018020015,29,8478541
2018020015,29,8476310
2018020015,12,8476858
2018020015,12,8477938
2018020016,26,8479994
2018020016,26,8476983
2018020016,28,8478078
2018020016,28,8475841
2018020016,28,8480160
2018020020,1,8473468
2018020020,1,8477463
2018020020,1,8471226
2018020020,22,8479465
2018020020,22,8475163
2018020020,22,8474520
2018020023,25,8477945
2018020023,25,8477501
2018020023,25,8476966
2018020023,52,8477448
2018020023,52,8475179
2018020023,52,8477962
2018020017,7,8474567
2018020017,7,8471743
2018020017,7,8476807
2018020017,3,8476368
2018020017,3,8477950
2018020017,3,8476480
2018020018,10,8477512
2018020018,10,8475718
2018020018,10,8475716
2018020018,9,8477433
2018020018,9,8480801
2018020019,14,8474870
2018020019,14,8476886
2018020019,14,8478365
2018020019,13,8474230
2018020019,13,8479553
2018020019,13,8477346
2018020021,2,8477527
2018020021,2,8475832
2018020021,2,8476429
2018020021,18,8469465
2018020021,18,8475625
2018020021,18,8476447
2018020022,5,8474683
2018020022,5,8480945
2018020022,5,8477244
2018020022,8,8473991
2018020022,8,8469521
2018020022,8,8477957
2018020024,19,8476441
2018020024,19,8476877
2018020024,19,8469501
2018020024,16,8475869
2018020024,16,8477401
